# Motion State
# Angle Units : degrees
# Time        	centreOfRotation	centreOfMass	rotation	velocity	omega
1002.2        	(0.000000e+00 1.088809e-03 0.000000e+00)	(0.000000e+00 1.088809e-03 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)	(0.000000e+00 -8.368550e-05 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)
1002.3        	(0.000000e+00 1.078079e-03 0.000000e+00)	(0.000000e+00 1.078079e-03 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)	(0.000000e+00 -1.307318e-04 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)
1002.4        	(0.000000e+00 1.062662e-03 0.000000e+00)	(0.000000e+00 1.062662e-03 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)	(0.000000e+00 -1.772462e-04 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)
1002.5        	(0.000000e+00 1.042629e-03 0.000000e+00)	(0.000000e+00 1.042629e-03 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)	(0.000000e+00 -2.230689e-04 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)
1002.6        	(0.000000e+00 1.018048e-03 0.000000e+00)	(0.000000e+00 1.018048e-03 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)	(0.000000e+00 -2.680203e-04 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)
1002.7        	(0.000000e+00 9.890253e-04 0.000000e+00)	(0.000000e+00 9.890253e-04 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)	(0.000000e+00 -3.117982e-04 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)
1002.8        	(0.000000e+00 9.556887e-04 0.000000e+00)	(0.000000e+00 9.556887e-04 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)	(0.000000e+00 -3.542175e-04 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)
1002.9        	(0.000000e+00 9.181818e-04 0.000000e+00)	(0.000000e+00 9.181818e-04 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)	(0.000000e+00 -3.951295e-04 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)
1003          	(0.000000e+00 8.766628e-04 0.000000e+00)	(0.000000e+00 8.766628e-04 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)	(0.000000e+00 -4.343612e-04 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)
1003.1        	(0.000000e+00 8.313096e-04 0.000000e+00)	(0.000000e+00 8.313096e-04 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)	(0.000000e+00 -4.717257e-04 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)
1003.2        	(0.000000e+00 7.823177e-04 0.000000e+00)	(0.000000e+00 7.823177e-04 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)	(0.000000e+00 -5.070598e-04 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)
1003.3        	(0.000000e+00 7.298976e-04 0.000000e+00)	(0.000000e+00 7.298976e-04 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)	(0.000000e+00 -5.401928e-04 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)
1003.4        	(0.000000e+00 6.742791e-04 0.000000e+00)	(0.000000e+00 6.742791e-04 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)	(0.000000e+00 -5.709550e-04 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)
1003.5        	(0.000000e+00 6.157066e-04 0.000000e+00)	(0.000000e+00 6.157066e-04 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)	(0.000000e+00 -5.991950e-04 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)
1003.6        	(0.000000e+00 5.544401e-04 0.000000e+00)	(0.000000e+00 5.544401e-04 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)	(0.000000e+00 -6.247744e-04 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)
1003.7        	(0.000000e+00 4.907517e-04 0.000000e+00)	(0.000000e+00 4.907517e-04 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)	(0.000000e+00 -6.475789e-04 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)
1003.8        	(0.000000e+00 4.249243e-04 0.000000e+00)	(0.000000e+00 4.249243e-04 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)	(0.000000e+00 -6.675226e-04 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)
1003.9        	(0.000000e+00 3.572472e-04 0.000000e+00)	(0.000000e+00 3.572472e-04 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)	(0.000000e+00 -6.845388e-04 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)
1004          	(0.000000e+00 2.880166e-04 0.000000e+00)	(0.000000e+00 2.880166e-04 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)	(0.000000e+00 -6.985307e-04 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)
1004.1        	(0.000000e+00 2.175411e-04 0.000000e+00)	(0.000000e+00 2.175411e-04 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)	(0.000000e+00 -7.094190e-04 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)
1004.2        	(0.000000e+00 1.461328e-04 0.000000e+00)	(0.000000e+00 1.461328e-04 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)	(0.000000e+00 -7.171679e-04 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)
1004.3        	(0.000000e+00 7.410750e-05 0.000000e+00)	(0.000000e+00 7.410750e-05 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)	(0.000000e+00 -7.217779e-04 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)
1004.4        	(0.000000e+00 1.777177e-06 0.000000e+00)	(0.000000e+00 1.777177e-06 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)	(0.000000e+00 -7.232356e-04 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)
1004.5        	(0.000000e+00 -7.053962e-05 0.000000e+00)	(0.000000e+00 -7.053962e-05 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)	(0.000000e+00 -7.215242e-04 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)
1004.6        	(0.000000e+00 -1.425277e-04 0.000000e+00)	(0.000000e+00 -1.425277e-04 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)	(0.000000e+00 -7.166431e-04 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)
1004.7        	(0.000000e+00 -2.138682e-04 0.000000e+00)	(0.000000e+00 -2.138682e-04 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)	(0.000000e+00 -7.086293e-04 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)
1004.8        	(0.000000e+00 -2.842535e-04 0.000000e+00)	(0.000000e+00 -2.842535e-04 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)	(0.000000e+00 -6.975530e-04 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)
1004.9        	(0.000000e+00 -3.533788e-04 0.000000e+00)	(0.000000e+00 -3.533788e-04 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)	(0.000000e+00 -6.834674e-04 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)
1005          	(0.000000e+00 -4.209470e-04 0.000000e+00)	(0.000000e+00 -4.209470e-04 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)	(0.000000e+00 -6.664258e-04 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)
1005.1        	(0.000000e+00 -4.866640e-04 0.000000e+00)	(0.000000e+00 -4.866640e-04 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)	(0.000000e+00 -6.464994e-04 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)
1005.2        	(0.000000e+00 -5.502469e-04 0.000000e+00)	(0.000000e+00 -5.502469e-04 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)	(0.000000e+00 -6.238143e-04 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)
1005.3        	(0.000000e+00 -6.114269e-04 0.000000e+00)	(0.000000e+00 -6.114269e-04 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)	(0.000000e+00 -5.984706e-04 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)
1005.4        	(0.000000e+00 -6.699410e-04 0.000000e+00)	(0.000000e+00 -6.699410e-04 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)	(0.000000e+00 -5.705516e-04 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)
1005.5        	(0.000000e+00 -7.255372e-04 0.000000e+00)	(0.000000e+00 -7.255372e-04 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)	(0.000000e+00 -5.402121e-04 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)
1005.6        	(0.000000e+00 -7.779834e-04 0.000000e+00)	(0.000000e+00 -7.779834e-04 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)	(0.000000e+00 -5.075914e-04 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)
1005.7        	(0.000000e+00 -8.270555e-04 0.000000e+00)	(0.000000e+00 -8.270555e-04 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)	(0.000000e+00 -4.727844e-04 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)
1005.8        	(0.000000e+00 -8.725403e-04 0.000000e+00)	(0.000000e+00 -8.725403e-04 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)	(0.000000e+00 -4.359689e-04 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)
1005.9        	(0.000000e+00 -9.142493e-04 0.000000e+00)	(0.000000e+00 -9.142493e-04 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)	(0.000000e+00 -3.973288e-04 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)
1006          	(0.000000e+00 -9.520061e-04 0.000000e+00)	(0.000000e+00 -9.520061e-04 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)	(0.000000e+00 -3.569701e-04 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)
1006.1        	(0.000000e+00 -9.856433e-04 0.000000e+00)	(0.000000e+00 -9.856433e-04 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)	(0.000000e+00 -3.150667e-04 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)
1006.2        	(0.000000e+00 -1.015019e-03 0.000000e+00)	(0.000000e+00 -1.015019e-03 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)	(0.000000e+00 -2.718490e-04 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)
1006.3        	(0.000000e+00 -1.040013e-03 0.000000e+00)	(0.000000e+00 -1.040013e-03 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)	(0.000000e+00 -2.274742e-04 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)
1006.4        	(0.000000e+00 -1.060514e-03 0.000000e+00)	(0.000000e+00 -1.060514e-03 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)	(0.000000e+00 -1.821132e-04 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)
1006.5        	(0.000000e+00 -1.076436e-03 0.000000e+00)	(0.000000e+00 -1.076436e-03 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)	(0.000000e+00 -1.359569e-04 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)
1006.6        	(0.000000e+00 -1.087706e-03 0.000000e+00)	(0.000000e+00 -1.087706e-03 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)	(0.000000e+00 -8.913827e-05 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)
1006.7        	(0.000000e+00 -1.094263e-03 0.000000e+00)	(0.000000e+00 -1.094263e-03 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)	(0.000000e+00 -4.188326e-05 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)
1006.8        	(0.000000e+00 -1.096082e-03 0.000000e+00)	(0.000000e+00 -1.096082e-03 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)	(0.000000e+00 5.564402e-06 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)
1006.9        	(0.000000e+00 -1.093151e-03 0.000000e+00)	(0.000000e+00 -1.093151e-03 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)	(0.000000e+00 5.303136e-05 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)
1007          	(0.000000e+00 -1.085476e-03 0.000000e+00)	(0.000000e+00 -1.085476e-03 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)	(0.000000e+00 1.002981e-04 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)
1007.1        	(0.000000e+00 -1.073091e-03 0.000000e+00)	(0.000000e+00 -1.073091e-03 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)	(0.000000e+00 1.471640e-04 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)
1007.2        	(0.000000e+00 -1.056043e-03 0.000000e+00)	(0.000000e+00 -1.056043e-03 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)	(0.000000e+00 1.934280e-04 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)
1007.3        	(0.000000e+00 -1.034405e-03 0.000000e+00)	(0.000000e+00 -1.034405e-03 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)	(0.000000e+00 2.389407e-04 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)
1007.4        	(0.000000e+00 -1.008255e-03 0.000000e+00)	(0.000000e+00 -1.008255e-03 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)	(0.000000e+00 2.834844e-04 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)
1007.5        	(0.000000e+00 -9.777084e-04 0.000000e+00)	(0.000000e+00 -9.777084e-04 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)	(0.000000e+00 3.267809e-04 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)
1007.6        	(0.000000e+00 -9.428989e-04 0.000000e+00)	(0.000000e+00 -9.428989e-04 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)	(0.000000e+00 3.686791e-04 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)
1007.7        	(0.000000e+00 -9.039726e-04 0.000000e+00)	(0.000000e+00 -9.039726e-04 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)	(0.000000e+00 4.090165e-04 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)
1007.8        	(0.000000e+00 -8.610956e-04 0.000000e+00)	(0.000000e+00 -8.610956e-04 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)	(0.000000e+00 4.476102e-04 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)
1007.9        	(0.000000e+00 -8.144505e-04 0.000000e+00)	(0.000000e+00 -8.144505e-04 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)	(0.000000e+00 4.842680e-04 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)
1008          	(0.000000e+00 -7.642420e-04 0.000000e+00)	(0.000000e+00 -7.642420e-04 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)	(0.000000e+00 5.188333e-04 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)
1008.1        	(0.000000e+00 -7.106839e-04 0.000000e+00)	(0.000000e+00 -7.106839e-04 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)	(0.000000e+00 5.511338e-04 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)
1008.2        	(0.000000e+00 -6.540152e-04 0.000000e+00)	(0.000000e+00 -6.540152e-04 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)	(0.000000e+00 5.810159e-04 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)
1008.3        	(0.000000e+00 -5.944807e-04 0.000000e+00)	(0.000000e+00 -5.944807e-04 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)	(0.000000e+00 6.083464e-04 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)
1008.4        	(0.000000e+00 -5.323459e-04 0.000000e+00)	(0.000000e+00 -5.323459e-04 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)	(0.000000e+00 6.329626e-04 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)
1008.5        	(0.000000e+00 -4.678882e-04 0.000000e+00)	(0.000000e+00 -4.678882e-04 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)	(0.000000e+00 6.547808e-04 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)
1008.6        	(0.000000e+00 -4.013898e-04 0.000000e+00)	(0.000000e+00 -4.013898e-04 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)	(0.000000e+00 6.737243e-04 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)
1008.7        	(0.000000e+00 -3.331433e-04 0.000000e+00)	(0.000000e+00 -3.331433e-04 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)	(0.000000e+00 6.896958e-04 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)
1008.8        	(0.000000e+00 -2.634506e-04 0.000000e+00)	(0.000000e+00 -2.634506e-04 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)	(0.000000e+00 7.026144e-04 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)
1008.9        	(0.000000e+00 -1.926205e-04 0.000000e+00)	(0.000000e+00 -1.926205e-04 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)	(0.000000e+00 7.124198e-04 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)
1009          	(0.000000e+00 -1.209666e-04 0.000000e+00)	(0.000000e+00 -1.209666e-04 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)	(0.000000e+00 7.190798e-04 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)
1009.1        	(0.000000e+00 -4.880449e-05 0.000000e+00)	(0.000000e+00 -4.880449e-05 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)	(0.000000e+00 7.225972e-04 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)
1009.2        	(0.000000e+00 2.355280e-05 0.000000e+00)	(0.000000e+00 2.355280e-05 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)	(0.000000e+00 7.229580e-04 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)
1009.3        	(0.000000e+00 9.578712e-05 0.000000e+00)	(0.000000e+00 9.578712e-05 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)	(0.000000e+00 7.201410e-04 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)
1009.4        	(0.000000e+00 1.675810e-04 0.000000e+00)	(0.000000e+00 1.675810e-04 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)	(0.000000e+00 7.141648e-04 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)
1009.5        	(0.000000e+00 2.386201e-04 0.000000e+00)	(0.000000e+00 2.386201e-04 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)	(0.000000e+00 7.051033e-04 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)
1009.6        	(0.000000e+00 3.086016e-04 0.000000e+00)	(0.000000e+00 3.086016e-04 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)	(0.000000e+00 6.929837e-04 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)
1009.7        	(0.000000e+00 3.772168e-04 0.000000e+00)	(0.000000e+00 3.772168e-04 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)	(0.000000e+00 6.778556e-04 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)
1009.8        	(0.000000e+00 4.441728e-04 0.000000e+00)	(0.000000e+00 4.441728e-04 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)	(0.000000e+00 6.597990e-04 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)
1009.9        	(0.000000e+00 5.091766e-04 0.000000e+00)	(0.000000e+00 5.091766e-04 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)	(0.000000e+00 6.389164e-04 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)
1010          	(0.000000e+00 5.719560e-04 0.000000e+00)	(0.000000e+00 5.719560e-04 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)	(0.000000e+00 6.153110e-04 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)
